
how long have it be since you review the objective of you benefit and service program,how bn:00106124a have it bn:00083181v since you bn:00092618v the bn:00002179n of you bn:00009904n and bn:00070654n bn:00064646n
subsequent section on grant describe the other category of the grant structure,bn:00111392a bn:00070190n on bn:00041380n bn:00086612v the bn:00108011a bn:00016733n of the bn:00041380n bn:00022071n
the following table show for selected year the authorization appropriation allotment base federal grant to state and state matching_funds for this part of the grant program,the bn:00103171a bn:00075812n bn:00086611v for bn:00110291a bn:00078738n the bn:00007292n bn:00005154n bn:00002910n bn:00008785n bn:00102870a bn:00041379n to bn:00064914n and state bn:00053786n for this bn:00027912n of the bn:00041380n bn:00064646n
in order to assist the state in maintain basic vocational_rehabilitation services section 2 of the amended act provide that allotment to state for support of such services be base on 1 need as measure by a state 's population and 2 fiscal capacity as measure by its per_capita income,in order to bn:00082481v the bn:00064914n in bn:00090039v bn:00098100a bn:00080178n bn:00070677n bn:00070190n bn:00095950a of the bn:00096958a act bn:00092115v that bn:00002910n to bn:00064914n for bn:00075330n of such bn:00070677n be bn:00083141v on 1 bn:00026107n as bn:00090715v by a bn:00064914n 's bn:00063595n and 2 bn:00102971a bn:00015420n as bn:00090715v by its bn:00108425a bn:00046315n
the act further provide for a `` floor `` or minimum allotment set at the 1954 level which be call the `` base `` allotment and a `` ceiling `` or maximum allotment for each state,the act bn:00115329r bn:00092115v for a `` bn:00008785n `` or bn:00106755a bn:00002910n bn:00086714v at the 1954 bn:00025966n which be bn:00084385v the `` bn:00008785n `` bn:00002910n and a `` bn:00015404n `` or bn:00106517a bn:00002910n for each bn:00064914n
it stipulate in addition that all amount remain as a result of impose the `` ceiling `` and not use for insure the `` floor `` be redistribute to those state still below they maximum,it bn:00085560v in addition that all bn:00003601n bn:00092757v as a result of bn:00087626v the `` bn:00015404n `` and bn:00116360r bn:00082705v for bn:00082877v the `` bn:00008785n `` be bn:00092580v to those bn:00064914n bn:00117138r below they bn:00053933n
these provision be design to reflect the difference in wealth and population among the state with the objective that a vocationally handicapped person have access to needed services regardless of whether he reside in a state with a low or high per_capita income or a sparsely or thickly populated state,these bn:00064921n be bn:00085742v to bn:00092635v the bn:00027022n in bn:00080746n and bn:00063595n among the bn:00064914n with the bn:00002179n that a bn:00117578r bn:00101440a bn:00046516n bn:00089240v bn:00000662n to bn:00107194a bn:00070677n bn:00115067r of whether he bn:00087149v in a bn:00064914n with a bn:00106205a or bn:00104162a bn:00108425a bn:00046315n or a bn:00117091r or bn:00114985r bn:00108808a bn:00064914n
the provision be also design to avoid disruption in state program already in_operation which might otherwise result from the allotment of funds on the basis of wealth and population alone,the bn:00064921n be bn:00114246r bn:00085742v to bn:00082954v bn:00012907n in state bn:00064646n bn:00114245r bn:00104745a which might bn:00116477r bn:00087671v from the bn:00002911n of bn:00016459n on the bn:00008870n of bn:00080746n and bn:00063595n bn:00114234r
the method use in compute the allotment be specifically set_forth in the act,the bn:00054625n bn:00082705v in bn:00084373v the bn:00002910n be bn:00117094r bn:00087892v in the act
the term `` state `` mean the several state the district_of_columbia the virgin_islands guam and puerto_rico the term `` united_states `` include the several state and the district_of_columbia and exclude the virgin_islands guam and puerto_rico and prior to 1962 alaska and hawaii,the bn:00076587n `` bn:00064914n `` bn:00089806v the bn:00109740a bn:00064914n the bn:00024942n the bn:00080055n bn:00042010n and bn:00021211n the bn:00076587n `` bn:00003341n `` bn:00089660v the bn:00109740a bn:00064914n and the bn:00024942n and bn:00087813v the bn:00080055n bn:00042010n and bn:00021211n and bn:00097192a to 1962 bn:00002335n and bn:00003002n
the following step be employ in calculation,the bn:00103171a bn:00054018n be bn:00082705v in bn:00014689n
for each state except puerto_rico guam the virgin_islands and prior to 1962 alaska and hawaii determine average per_capita income base on the last three year,for each bn:00064914n except bn:00021211n bn:00042010n the bn:00080055n and bn:00097192a to 1962 bn:00002335n and bn:00003002n bn:00082811v bn:00097854a bn:00108425a bn:00046315n base on the bn:00105739a bn:00095975a bn:00078738n
see source of datum below for per_capita income data to be use in this step,see source of datum bn:00114525r for bn:00108425a bn:00046315n bn:00025314n to be bn:00082705v in this bn:00054018n
determine the average per_capita income for the u.s. base on the last three year,bn:00082811v the bn:00097854a bn:00108425a bn:00046315n for the bn:00003341n base on the bn:00105739a bn:00095975a bn:00078738n
see source of data below for per_capita income data to be use in this step,see bn:00072943n of bn:00025314n bn:00114525r for bn:00108425a bn:00046315n bn:00025314n to be bn:00082705v in this bn:00054018n
determine the ratio of 50 to the average per_capita income of the u.s. divide 50 by the result obtain in item 2 above,bn:00082811v the bn:00066247n of bn:00000123n to the bn:00097854a bn:00108425a bn:00046315n of the bn:00003341n bn:00087098v bn:00000123n by the bn:00004452n bn:00088208v in bn:00047730n bn:00095950a bn:00114080r
determine for each state except the virgin_islands guam and puerto_rico and prior to 1962 alaska and hawaii that percentage which bear the same ratio to 50 as the particular state 's average per_capita income bear to the average per_capita income of the u.s.,bn:00082811v for each bn:00064914n except the bn:00080055n bn:00042010n and bn:00021211n and bn:00097192a to 1962 bn:00002335n and bn:00003002n that bn:00061135n which bn:00083221v the bn:00105978a bn:00066247n to bn:00000123n as the particular bn:00064914n 's bn:00097854a bn:00108425a bn:00046315n bn:00083221v to the bn:00097854a bn:00108425a bn:00046315n of the bn:00003341n
multiply the result obtain in item 3 above by the result obtain for each state in item 1 above,bn:00090977v the bn:00004452n bn:00088208v in bn:00047730n bn:00095975a bn:00114080r by the bn:00004452n bn:00088208v for each bn:00064914n in bn:00047730n bn:00095887a bn:00114080r
determine the particular state 's `` allotment percentage ``,bn:00082811v the particular bn:00064914n 's `` bn:00002910n bn:00061135n ``
by law this be 75 for the virgin_islands guam and puerto_rico,by bn:00050249n this bn:00083186v 75 for the bn:00080055n bn:00042010n and bn:00021211n
alaska and hawaii have fixed allotment percentage in_effect prior to fiscal_year 1962,bn:00002335n and bn:00003002n bn:00089240v bn:00103040a bn:00002910n bn:00061135n bn:00102041a bn:00097192a to bn:00034543n 1962
in all other state it be the difference obtain by subtract from 100 the result obtain in item 4 above except that no state shall have a allotment percentage less than 33 1 3 nor more than 75,in bn:00096798a bn:00108011a bn:00064914n it bn:00083186v the difference bn:00088208v by bn:00086432v from bn:00000009n the bn:00004452n bn:00088208v in bn:00047730n bn:00096001a bn:00114080r except that no bn:00064914n shall bn:00089240v a bn:00002910n bn:00061135n less than 33 bn:00095887a bn:00095975a nor more than 75
if the result difference for the particular state be less or more than these extreme the state 's allotment percentage must be raise or lower to the appropriate extreme,if the result difference for the particular bn:00064914n bn:00083186v less or more than these bn:00032491n the bn:00064914n 's bn:00002910n bn:00061135n must be bn:00092332v or bn:00090502v to the bn:00097398a bn:00032491n
square each state 's allotment percentage,bn:00094214v each bn:00064914n 's bn:00002910n bn:00061135n
determine each state 's population,bn:00082811v each bn:00064914n 's bn:00063595n
see source of data below for population data to be use in this step,see bn:00072943n of bn:00025314n bn:00114525r for bn:00063595n bn:00025314n to be bn:00082705v in this bn:00054018n
multiply the population of each state by the square of its allotment percentage,bn:00090977v the bn:00063595n of each bn:00064914n by the bn:00070132n of its bn:00002910n bn:00061135n
multiply result obtain in item 7 above by result obtain in item 6 above,bn:00090977v bn:00004452n bn:00088208v in bn:00047730n bn:00096060a bn:00114080r by bn:00004452n bn:00088208v in bn:00047730n bn:00096044a bn:00114080r
determine the sum of the product obtain in item 8 above for all the state,bn:00082811v the bn:00003604n of the bn:00053827n bn:00088208v in bn:00047730n bn:00096075a bn:00114080r for bn:00096798a the bn:00064914n
for each state make all computation set_forth in item 1 to 8 above and_then add the result obtain for each state in item 8,for each bn:00064914n bn:00087106v bn:00096798a bn:00014688n bn:00087892v in bn:00047730n bn:00095887a to bn:00096075a bn:00114080r bn:00114281r bn:00082320v the bn:00004452n bn:00088208v for each bn:00064914n in bn:00047730n bn:00096075a
determine the ratio that the amount be allot be to the sum of the product for all the state,bn:00082811v the bn:00066247n that the bn:00003601n be bn:00082535v bn:00083181v to the bn:00003604n of the bn:00053827n for bn:00096798a the bn:00064914n
divide the amount be allot by the result obtain in item 9 above,bn:00087098v the bn:00003601n be bn:00082535v by the bn:00004452n bn:00088208v in bn:00047730n bn:00096090a bn:00114080r
determine the particular state 's unadjusted allotment for the particular fiscal_year,bn:00082811v the particular bn:00064914n 's bn:00112283a bn:00002910n for the particular bn:00034543n
multiply the state product in item 8 above by the result obtain in item 10 above,bn:00090977v the bn:00064914n bn:00053827n in bn:00047730n bn:00096075a bn:00114080r by the bn:00004452n bn:00088208v in bn:00047730n bn:00095888a bn:00114080r
determine if the particular state 's unadjusted allotment result obtain in item 11 above be great than its maximum allotment and if so lower its unadjusted allotment to its maximum allotment,bn:00082811v if the particular bn:00064914n 's bn:00112283a bn:00002910n bn:00004452n bn:00088208v in bn:00047730n bn:00095899a bn:00114080r bn:00083181v bn:00103779a than its bn:00106517a bn:00002910n and if so bn:00090502v its bn:00112283a bn:00002910n to its bn:00106517a bn:00002910n
each state 's unadjusted allotment for any fiscal_year which exceed its minimum allotment describe in item 13 below by a percentage great than one and half times the percentage by which the sum be allot exceed 23000000 must be reduce by the amount of the excess,each bn:00064914n 's bn:00112283a bn:00002910n for any bn:00034543n which bn:00087793v its bn:00106755a bn:00002910n bn:00086612v in bn:00047730n bn:00095911a bn:00114525r by a bn:00061135n bn:00103779a than bn:00095887a and bn:00103877a bn:00056300n the bn:00061135n by which the bn:00003601n be bn:00082535v bn:00087793v 23000000 must be bn:00084079v by the bn:00003601n of the bn:00032121n
determine if the particular state 's unadjusted allotment result obtain in item 11 above be less than its minimum base allotment and if so raise its unadjusted allotment to its minimum allotment,bn:00082811v if the particular bn:00064914n 's bn:00112283a bn:00002910n bn:00004452n bn:00088208v in bn:00047730n bn:00095899a bn:00114080r bn:00083181v less than its bn:00106755a bn:00098085a bn:00002910n and if so bn:00092332v its bn:00112283a bn:00002910n to its bn:00106755a bn:00002910n
regardless of its unadjusted allotment each state be guarantee by law a minimum allotment each_year equal to the allotment which it receive in fiscal_year 1954 increase by a uniform percentage of 5.4865771 which bring total 1954 allotment to all state up to 23000000,bn:00115067r of its bn:00112283a bn:00002910n each bn:00064914n be bn:00082877v by bn:00050249n a bn:00106755a bn:00002910n bn:00114290r equal to the bn:00002910n which it bn:00089246v in bn:00034543n 1954 bn:00089667v by a bn:00112843a bn:00061135n of 5.4865771 which bn:00084062v total 1954 bn:00002910n to all bn:00064914n bn:00117522r to 23000000
the funds recoup by reduction in item 12 above be use first to increase the unadjusted allotment to the specified minimum in those state where the unadjusted allotment be less than the minimum allotment item 13 above and second to increase uniformly the allotment to those state whose allotment be below they maximum with adjustment to prevent the allotment of any state from thereby exceed its maximum,the bn:00016459n bn:00092543v by bn:00025780n in bn:00047730n bn:00095905a above be bn:00082705v bn:00115376r to bn:00089667v the bn:00112283a bn:00002910n to the bn:00111005a bn:00052194n in those bn:00064914n where the bn:00112283a bn:00002910n bn:00083181v bn:00116105r than the bn:00106755a bn:00002910n bn:00047730n bn:00095911a above and bn:00116918r to bn:00089667v bn:00117454r the bn:00002910n to those bn:00064914n whose bn:00002910n bn:00083181v below they bn:00053933n with bn:00001410n to bn:00090033v the bn:00002910n of any bn:00064914n from bn:00117263r bn:00087793v its bn:00053933n
for the state which maintain two separate agency one for the vocational rehabilitation of the blind and one for the rehabilitation of person other than the blind the act specify that they minimum base allotment shall be divide between the two agency in the same proportion as it be divide in fiscal_year 1954,for the bn:00064914n which bn:00090039v bn:00095950a bn:00110423a bn:00001961n bn:00095887a for the bn:00113655a bn:00066947n of the bn:00011246n and bn:00095887a for the bn:00066947n of bn:00046516n other than the bn:00011246n the act bn:00085560v that they bn:00106755a bn:00098085a bn:00002910n shall be bn:00084611v between the bn:00095950a bn:00001961n in the bn:00105978a bn:00064765n as it be bn:00084611v in bn:00034543n 1954
funds allot in addition to they minimum allotment be apportion to the two agency as they may determine,bn:00016459n bn:00082535v in addition to they bn:00106755a bn:00002910n be bn:00082534v to the bn:00095950a bn:00001961n as they may bn:00086370v
as be the case with the allotment provision for support of vocational rehabilitation services the match requirement be also base on a statutory formula,as bn:00083181v the bn:00016404n with the bn:00002910n bn:00064921n for bn:00075330n of bn:00113655a bn:00066947n bn:00070677n the bn:00090696v bn:00026105n be bn:00114246r bn:00083141v on a bn:00111170a bn:00032395n
prior to 1960 in order to provide matching_funds for the minimum base allotment state funds have to equal 1954 state funds,bn:00097192a to 1960 in order to bn:00088643v bn:00053786n for the bn:00106755a bn:00098085a bn:00002910n state bn:00016459n have to bn:00083186v 1954 state bn:00016459n
prior to and since 1960 the rest of the support allotment be match at rate related_to the fiscal capacity of the state with a pivot of 40 state or 60 federal participation in total program cost,bn:00097192a to and since 1960 the bn:00008047n of the bn:00075330n bn:00002910n be bn:00090696v at bn:00017803n bn:00109650a the bn:00102971a bn:00015418n of the bn:00064914n with a pivot of bn:00096004a state or bn:00096046a bn:00102870a bn:00030844n in bn:00102277a bn:00064646n bn:00022995n
the percentage of federal participation in such cost for any state be refer to in the law as that state 's `` federal share ``,the bn:00061135n of bn:00102870a bn:00030844n in such bn:00022995n for any bn:00064914n be bn:00092621v to in the bn:00048655n as that bn:00064914n 's `` bn:00102870a bn:00060768n ``
for purpose of this explanation this percentage be refer to as the state `` unadjusted federal share ``,for bn:00002178n of this bn:00000741n this bn:00061135n be bn:00092621v to as the bn:00064914n `` bn:00112283a bn:00102870a bn:00060768n ``
begin in 1960 the match requirement for the base allotment be be adjust upward or downward as_required 25 per_year so that by 1963 the entire support allotment will be match on the basis of a 40 pivot state share with maximum and minimum state share of 50 and 30 respectively,bn:00083341v in 1960 the bn:00090696v bn:00026105n for the bn:00098085a bn:00002910n be be bn:00082357v bn:00117522r or bn:00101753a bn:00114364r bn:00000089n bn:00114291r bn:00117044r that by 1963 the bn:00102277a bn:00075330n bn:00002910n will be bn:00090696v on the bn:00008870n of a bn:00096004a pivot state bn:00060768n with bn:00106517a and bn:00106755a state bn:00060768n of bn:00000123n and bn:00000104n bn:00116843r
the pre 1960 rate of federal participation with respect to any state 's base allotment as well as the adjusted rate in_effect during the 1960 1962 period be designate by the statute as that state 's `` adjusted federal share ``,the pre 1960 bn:00017803n of bn:00102870a bn:00030844n with respect to any bn:00064914n 's bn:00098085a bn:00002910n as well as the bn:00096467a bn:00017803n bn:00102041a during the 1960 1962 bn:00061605n be bn:00086585v by the bn:00050588n as that bn:00064914n 's `` bn:00096467a bn:00102870a bn:00060768n ``
the provision for determine a state 's unadjusted federal share be design to reflect the varying financial resource among the state,the bn:00064921n for bn:00082811v a bn:00064914n 's bn:00112283a bn:00102870a bn:00060768n be bn:00085742v to bn:00092635v the bn:00113502a bn:00102971a bn:00067352n among the bn:00064914n
the purpose of the adjusted federal share relate to the base allotment and of the transition provision for reach the unadjusted federal share be to prevent dislocation from abrupt change in match rate,the bn:00002178n of the bn:00096467a bn:00102870a bn:00060768n bn:00089842v to the bn:00098085a bn:00002910n and of the bn:00017678n bn:00064921n for bn:00082790v the bn:00112283a bn:00102870a bn:00060768n bn:00083182v to bn:00090033v bn:00027621n from abrupt change in bn:00090696v bn:00017803n
the method use for compute the respective federal and state share in total program cost be specifically set_forth in the act,the bn:00054625n bn:00082705v for bn:00084373v the bn:00109740a bn:00102870a and state bn:00060768n in total bn:00064646n bn:00022995n be bn:00117094r bn:00087892v in the act
the term `` state `` mean the several state the district_of_columbia the virgin_islands guam and puerto_rico the term `` united_states `` include the several state and the district_of_columbia and exclude the virgin_islands guam and puerto_rico and prior to 1962 alaska and hawaii,the bn:00076587n `` bn:00064914n `` bn:00089806v the bn:00109740a bn:00064914n the bn:00024942n the bn:00080055n bn:00042010n and bn:00021211n the bn:00076587n `` bn:00003341n `` bn:00089660v the bn:00109740a bn:00064914n and the bn:00024942n and bn:00087798v the bn:00080055n bn:00042010n and bn:00021211n and bn:00097192a to 1962 bn:00002335n and bn:00003002n
the following step be employ in the calculation,the bn:00103171a bn:00054018n be bn:00082705v in the bn:00014689n
for each state except the virgin_islands guam puerto_rico and prior to 1962 alaska and hawaii determine the average per_capita income for the last three year,for each bn:00064914n except the bn:00080055n bn:00042010n bn:00021211n and bn:00097192a to 1962 bn:00002335n and bn:00003002n bn:00082811v the bn:00097854a bn:00108425a bn:00046315n for the bn:00105739a bn:00095975a bn:00078738n
the same amount use in item 1 under method of compute allotment above,the bn:00105978a bn:00003601n bn:00082705v in bn:00047730n bn:00095887a under bn:00054625n of bn:00084373v bn:00002910n bn:00114080r
determine the average per_capita income for the united_states for the last three year,bn:00082811v the bn:00097854a bn:00108425a bn:00046315n for the bn:00003341n for the bn:00105739a bn:00095975a bn:00078738n
the same amount use in item 2 under method of compute allotment above,the bn:00105978a bn:00003601n bn:00082705v in bn:00047730n bn:00095950a under bn:00054625n of bn:00084373v bn:00002910n bn:00114080r
determine the ratio of 40 to the average per_capita income of the united_states,bn:00082811v the bn:00066247n of bn:00000113n to the bn:00097854a bn:00108425a bn:00046315n of the bn:00003341n
divide 40 by the amount use in item 2 above,bn:00087098v bn:00000113n by the bn:00003601n bn:00082705v in bn:00047730n bn:00095950a bn:00114080r
determine for each state except the virgin_islands guam puerto_rico and prior to 1962 alaska and hawaii that percentage which bear the same ratio to 40 as the particular state 's average per_capita income bear to the average per_capita income of the united_states,bn:00082811v for each bn:00064914n except the bn:00080055n bn:00042010n bn:00021211n and bn:00097192a to 1962 bn:00002335n and bn:00003002n that bn:00061135n which bn:00083221v the bn:00105978a bn:00066247n to bn:00000113n as the particular bn:00064914n 's bn:00097854a bn:00108425a bn:00046315n bn:00083221v to the bn:00097854a bn:00108425a bn:00046315n of the bn:00003341n
multiply the result obtain in item 3 above by the amount use for each state in item 1 above,bn:00090977v the bn:00004452n bn:00088208v in bn:00047730n bn:00095975a bn:00114080r by the bn:00003601n bn:00082705v for each bn:00064914n in bn:00047730n bn:00095887a bn:00114080r
determine the particular state 's `` federal share ``,bn:00082811v the particular bn:00064914n 's `` bn:00102870a bn:00060768n ``
by law this be 70 for the virgin_islands guam and puerto_rico,by bn:00050249n this bn:00083186v bn:00000130n for the bn:00080055n bn:00042010n and bn:00021211n
alaska and hawaii have fixed federal share percentage in_effect prior to fiscal_year 1962,bn:00002335n and bn:00003002n bn:00089240v bn:00103040a bn:00102870a bn:00060768n bn:00061135n bn:00102041a bn:00097192a to bn:00034543n 1962
in all other state it be the difference obtain by subtract from 100 the result obtain in item 4 above except that no state shall have a federal share less than 50 nor more than 70,in bn:00096798a bn:00108011a bn:00064914n it bn:00083186v the difference bn:00088208v by bn:00086432v from bn:00000009n the bn:00004452n bn:00088208v in bn:00047730n bn:00096001a bn:00114080r except that no bn:00064914n shall bn:00089240v a bn:00102870a bn:00060768n less than bn:00000123n nor more than bn:00096062a
if the result difference for the particular state be less or more than these extreme the state 's federal share must be raise or lower to the appropriate extreme,if the result difference for the particular bn:00064914n bn:00083186v less or more than these bn:00032491n the bn:00064914n 's bn:00102870a bn:00060768n must be bn:00092332v or bn:00090502v to the bn:00097398a bn:00032491n
person say nothing,bn:00046516n bn:00093287v bn:00007146n
`` be there any word you would like to offer in you own defense ``,`` be there bn:00097285a bn:00081547n you would bn:00084526v to bn:00091135v in you bn:00096707a bn:00025875n ``
person shake he head,bn:00046516n bn:00082470v he bn:00015784n
person say `` answer i properly person ``,bn:00046516n bn:00093287v `` bn:00004453n i bn:00114946r bn:00046516n ``
person be_quiet for a moment long then he say `` there be nothing i want to say captain ``,bn:00046516n bn:00083206v for a bn:00046942n bn:00106124a bn:00114281r he bn:00093287v `` there bn:00083184v bn:00007146n i bn:00086682v to bn:00093287v bn:00015751n ``
`` very_well ``,`` bn:00114213r ``
person walk away,bn:00046516n bn:00095597v bn:00114455r
naval procedure he think have its moment of grim humor,bn:00107165a bn:00059130n he bn:00083370v bn:00088078v its bn:00046942n of bn:00098488a bn:00045200n
person have cold-bloodedly plan the murder of he captain yet it seem in order to chide he for a lapse of proper address,bn:00046516n have bn:00114762r bn:00085742v the bn:00032175n of he bn:00015750n yet it bn:00082690v in order to bn:00083177v he for a bn:00049995n of bn:00109114a bn:00001305n
during the morning hour it become clear that the arrest of person be have no sobering effect upon the man of the somers,during the morning bn:00044982n it bn:00083293v bn:00099802a that the bn:00005136n of bn:00046516n be bn:00088733v no bn:00110838a bn:00021961n upon the bn:00053096n of the somers
those name in the greek paper be manufacture reason to steal aft under pretence of some call of duty so as to be near person watch a opportunity to communicate with he,those bn:00089575v in the bn:00103785a bn:00057563n be bn:00085788v bn:00041881n to bn:00093882v bn:00114058r under bn:00042149n of some bn:00014794n of bn:00029239n so as to bn:00083183v near bn:00046516n bn:00095665v a bn:00017621n to bn:00085436v with he
hostile glance be flash at both person and person,bn:00104343a bn:00023260n be bn:00088278v at both bn:00046516n and bn:00046516n
the two meet in the captain 's cabin,the bn:00000075n bn:00085756v in the bn:00015750n 's bn:00014437n
`` what be the next step captain ``,`` what bn:00083187v the bn:00103172a bn:00054018n bn:00015750n ``
`` more arrest i fear ``,`` bn:00106936a bn:00005136n i bn:00088066v ``
in you opinion who be this person on the certain list ``,in you bn:00059169n who bn:00083182v this bn:00046516n on the bn:00099475a bn:00051508n ``
`` person of_course,`` bn:00046516n bn:00114869r
he be the old and most experienced of the lot,he bn:00083181v the bn:00107786a and bn:00116290r bn:00102577a of the bn:00008279n
he see the danger not the glory of be identify as a mutineer,he bn:00085647v the bn:00025171n bn:00116360r the bn:00040711n of be bn:00089574v as a bn:00056540n
somehow he talk_into person into let he use another name ``,bn:00115825r he bn:00094801v bn:00046516n into bn:00082536v he bn:00082705v bn:00097165a bn:00056758n ``
there be a tap at the door and person enter with the word that person wish to see the captain,there bn:00083185v a bn:00060963n at the bn:00028248n and bn:00046516n bn:00085363v with the bn:00081547n that bn:00046516n bn:00084526v to bn:00085339v the bn:00015750n
`` have he come_in ``,`` have he bn:00085363v ``
person breathless and wild-eyed bring the chilling news that the handspike heaver and holystone have be mysteriously remove from they customary place,bn:00046516n bn:00098840a and bn:00113873a bn:00084061v the bn:00099608a bn:00047028n that the bn:00042835n bn:00043464n and bn:00044486n have be mysteriously bn:00092783v from they bn:00096299a bn:00062699n
`` and also sir two article which be consider souvenir now must be regard in another light entirely,`` and bn:00114246r bn:00071803n bn:00095950a bn:00006122n which be bn:00085647v bn:00048886n bn:00116382r must be bn:00085652v in bn:00097165a bn:00051110n bn:00114203r
a african knife and battle-ax be at this moment be sharpen by person and person,a bn:00096629a bn:00049323n and bn:00009081n be at this bn:00046942n bn:00083181v bn:00093578v by bn:00046516n and bn:00046516n
person be overhear to say that he would like to get the knife into person 's possession and that ``,bn:00046516n be bn:00084661v to bn:00093287v that he would bn:00084526v to bn:00088733v the bn:00049323n into bn:00046516n 's bn:00059958n and that ``
`` where do you gather all this information person,`` where do you bn:00085289v all this bn:00046705n bn:00046516n
who report to you the disappearance of handspike and heaver and who ``,who bn:00082233v to you the bn:00027426n of bn:00042835n and bn:00043464n and who ``
he be interrupt by a crash from the deck and spring toward the ladder with person and person behind he,he be bn:00083995v by a bn:00019432n from the bn:00025719n and bn:00083833v toward the bn:00049652n with bn:00046516n and bn:00046516n behind he
a glance reveal that the main topgallant_mast have be carry_away,a bn:00023260n bn:00084097v that the bn:00099598a bn:00077626n have be bn:00083231v
the aimless mill_about of what have be a well trained well organized crew strike person with horror,the bn:00096505a bn:00088445v of what have bn:00083181v a bn:00115530r bn:00112051a bn:00115530r bn:00107974a bn:00023774n bn:00082430v bn:00046516n with bn:00044817n
he bellow order and watch the alert response of some of he man and watch too the way a dozen or more turn they head questioningly toward the shackled figure as though for further instruction,he bn:00083174v bn:00059303n and bn:00095665v the bn:00096755a bn:00066344n of some of he bn:00053096n and bn:00095665v bn:00114246r the bn:00033729n a bn:00000020n or more bn:00095233v they bn:00015784n bn:00116765r toward the bn:00102913a bn:00003882n as though for further bn:00027356n
person hasten to person 's side,bn:00046516n bn:00083395v to bn:00046516n 's bn:00071433n
`` person violently jerk the weather royal_brace with full intention to carry_away the mast,`` bn:00046516n bn:00117565r bn:00089958v the bn:00113438a bn:00068440n with bn:00102277a bn:00002178n to bn:00083231v the bn:00053706n
i see he myself and it be do after consultation with person,i bn:00093430v he myself and it be bn:00087107v after bn:00007099n with bn:00046516n
i swear it sir ``,i bn:00082435v it bn:00071803n ``
and it be clear that person be not mistaken for both person and person take no step toward aid in the sending up of the new topgallant_mast till person have give the signal to obey,and it be bn:00099802a that bn:00046516n bn:00083181v bn:00116360r bn:00102747a for both bn:00046516n and bn:00046516n bn:00094730v bn:00107314a bn:00054018n toward bn:00082481v in the bn:00070467n up of the bn:00107267a bn:00077626n till bn:00046516n have bn:00088819v the bn:00071525n to bn:00091112v
then with disappointment evident upon they face they move to the work,bn:00114281r with bn:00027430n bn:00097350a upon they bn:00032601n they bn:00088913v to the bn:00081568n
person guess that they have plan confusion and turmoil think it the ideal climate in which to begin battle and bloodshed,bn:00046516n bn:00089105v that they have bn:00083196v bn:00021789n and bn:00022403n bn:00083370v it the ideal bn:00019780n in which to bn:00083340v bn:00009078n and bn:00011408n
they strategy be sound enough and he reason have be defeat only by person 's unwillingness to sanction a idea he have not originate,they bn:00069579n bn:00083181v bn:00110939a bn:00115216r and he bn:00085528v have be bn:00086448v bn:00114234r by bn:00046516n 's bn:00047382n to bn:00082740v a bn:00045800n he have bn:00116360r bn:00089743v
when the mast be raise person give the order for person and person to be place under arrest and now three figure in irons sprawl upon the open deck and terror stalk the somers,when the bn:00053706n be bn:00084110v bn:00046516n bn:00088817v the bn:00059303n for bn:00046516n and bn:00046516n to be bn:00090224v under bn:00005136n and bn:00116381r bn:00095975a bn:00003882n in bn:00017514n bn:00094182v upon the bn:00102600a bn:00025719n and bn:00001793n bn:00089239v the somers
person 's potential follower be openly sullen and morose miss muster without excuse express in ominous tone they displeasure at the prisoner be keep in irons communicate with the three by glance and signal,bn:00046516n 's bn:00105983a bn:00035629n bn:00083181v bn:00116455r bn:00100906a and bn:00100906a bn:00090853v bn:00090990v without bn:00002715n bn:00087894v in bn:00098000a bn:00077553n they bn:00027678n at the bn:00015767n be bn:00089384v in bn:00017514n bn:00085436v with the bn:00000100n by bn:00023260n and bn:00071525n
one of the missing handspike come_out of its hiding_place after person have be insolently disobey by person,one of the bn:00106801a bn:00042835n bn:00085373v of its bn:00044009n after bn:00046516n have be bn:00115969r bn:00086996v by bn:00046516n
person have report the man to person and a hour later with back turn have be attack by person brandish the weapon,bn:00046516n have bn:00092826v the bn:00053096n to bn:00046516n and a bn:00000127n bn:00114165r with bn:00007727n bn:00095233v have be bn:00082462v by bn:00046516n bn:00083886v the bn:00005704n
person shackled and snarl be throw with the other prisoner and be soon join by person person and person,bn:00046516n bn:00102913a and bn:00093963v be bn:00094934v with the other bn:00015767n and be bn:00114513r bn:00085613v by bn:00046516n bn:00046516n and bn:00046516n
not a man on the brig loyal or villainous could be unaffected by the sight of seven man involve in the crime of mutiny,bn:00116360r a bn:00053096n on the bn:00013112n bn:00106242a or bn:00107197a could bn:00083181v bn:00105175a by the bn:00071507n of bn:00096060a bn:00053096n bn:00089893v in the bn:00023807n of bn:00056541n
in the tiny cabin person meet with person person and person to speak and to listen,in the bn:00098029a bn:00014437n bn:00046516n bn:00088791v with bn:00046516n bn:00046516n and bn:00046516n to bn:00094089v and to bn:00089280v
three day have pass since person 's arrest and each day have bring new danger new fear,bn:00095975a bn:00025418n have bn:00087513v since bn:00046516n 's bn:00005136n and bn:00101929a bn:00025417n have bn:00084060v bn:00107267a bn:00025171n bn:00107267a bn:00033854n
person say `` it require a omniscient eye to select those if any on whom we can now rely,bn:00046516n bn:00093287v `` it bn:00082822v a bn:00096804a bn:00032512n to bn:00084931v those if any on whom we can bn:00116382r rely
